Software_Package,Parent1_Tag,Count,,Software_Package,Parent2_Tag,Count,,Software_Package,Parent3_Tag,Count,,Software_Package,Parent4_Tag,Count
AstroBlend,ext-link,1,,AstroBlend,p,2,,AstroBlend,fn,1,,AstroBlend,p,1
AstroBlend,sc,1,,Astropy,abstract,1,,AstroBlend,sec,1,,AstroBlend,sec,1
Astropy,collab,389,,Astropy,ack,549,,Astropy,abstract,2,,Astropy,app-group,5
Astropy,comment,41,,Astropy,aff,1,,Astropy,ack,114,,Astropy,article,619
Astropy,conf-name,1,,Astropy,app,4,,Astropy,app,5,,Astropy,article-meta,3
Astropy,disp-formula,3,,Astropy,disp-formula,3,,Astropy,app-group,4,,Astropy,back,118
Astropy,ext-link,578,,Astropy,element-citation,852,,Astropy,article,31,,Astropy,body,31
Astropy,institution,1,,Astropy,fn,5,,Astropy,article-meta,1,,Astropy,element-citation,7
Astropy,italic,14,,Astropy,list-item,6,,Astropy,back,549,,Astropy,fig,1
Astropy,monospace,108,,Astropy,name,9,,Astropy,caption,1,,Astropy,front,1
Astropy,p,649,,Astropy,nlm-citation,88,,Astropy,contrib-group,1,,Astropy,list,1
Astropy,pub-id,405,,Astropy,p,241,,Astropy,element-citation,349,,Astropy,nlm-citation,2
Astropy,sans-serif,2,,Astropy,person-group,388,,Astropy,fn,54,,Astropy,p,60
Astropy,sc,22,,Astropy,sec,84,,Astropy,list,6,,Astropy,ref,388
Astropy,source,6,,Astropy,td,1,,Astropy,list-item,1,,Astropy,ref-list,940
Astropy,surname,9,,Astropy,tr,1,,Astropy,nlm-citation,39,,Astropy,sec,55
Astropy,td,1,,RADMC-3D,abstract,3,,Astropy,p,8,,Astropy,table,1
Astropy,tex-math,3,,RADMC-3D,ack,21,,Astropy,person-group,9,,Astropy,tbody,1
Astropy,year,1,,RADMC-3D,app,21,,Astropy,ref,940,,RADMC-3D,app,6
RADMC-3D,article-title,19,,RADMC-3D,article-title,2,,Astropy,sec,117,,RADMC-3D,app-group,4
RADMC-3D,comment,5,,RADMC-3D,caption,42,,Astropy,tbody,1,,RADMC-3D,article,188
RADMC-3D,ext-link,267,,RADMC-3D,comment,6,,Astropy,tr,1,,RADMC-3D,article-meta,1
RADMC-3D,fpage,1,,RADMC-3D,element-citation,88,,RADMC-3D,abstract,1,,RADMC-3D,back,29
RADMC-3D,italic,3,,RADMC-3D,fn,5,,RADMC-3D,ack,8,,RADMC-3D,body,90
RADMC-3D,monospace,50,,RADMC-3D,list-item,3,,RADMC-3D,app,4,,RADMC-3D,fig,5
RADMC-3D,p,343,,RADMC-3D,nlm-citation,173,,RADMC-3D,app-group,21,,RADMC-3D,front,3
RADMC-3D,pub-id,23,,RADMC-3D,p,155,,RADMC-3D,article,90,,RADMC-3D,list,1
RADMC-3D,sc,42,,RADMC-3D,sec,251,,RADMC-3D,article-meta,3,,RADMC-3D,p,57
RADMC-3D,source,13,,RADMC-3D,tr,4,,RADMC-3D,back,21,,RADMC-3D,ref,8
RADMC-3D,td,4,,SAOImage DS9,ack,125,,RADMC-3D,caption,6,,RADMC-3D,ref-list,261
RADMC-3D,title,3,,SAOImage DS9,app,7,,RADMC-3D,element-citation,7,,RADMC-3D,sec,113
RADMC-3D,volume,1,,SAOImage DS9,caption,27,,RADMC-3D,fig,41,,RADMC-3D,table,4
SAOImage DS9,ext-link,105,,SAOImage DS9,element-citation,19,,RADMC-3D,fig-group,1,,RADMC-3D,table-wrap,3
SAOImage DS9,italic,18,,SAOImage DS9,fn,12,,RADMC-3D,fn,54,,RADMC-3D,table-wrap-foot,1
SAOImage DS9,monospace,5,,SAOImage DS9,list-item,3,,RADMC-3D,list,3,,SAOImage DS9,ack,1
SAOImage DS9,p,368,,SAOImage DS9,nlm-citation,39,,RADMC-3D,list-item,1,,SAOImage DS9,app,1
SAOImage DS9,sc,4,,SAOImage DS9,p,75,,RADMC-3D,nlm-citation,1,,SAOImage DS9,app-group,10
SAOImage DS9,source,1,,SAOImage DS9,sec,195,,RADMC-3D,p,3,,SAOImage DS9,article,217
SAOImage DS9,title,1,,Spec2d,abstract,1,,RADMC-3D,ref,261,,SAOImage DS9,back,53
Spec2d,article-id,1,,Spec2d,ack,35,,RADMC-3D,sec,242,,SAOImage DS9,body,48
Spec2d,article-title,6,,Spec2d,app,2,,RADMC-3D,table-wrap-foot,2,,SAOImage DS9,fig,3
Spec2d,comment,4,,Spec2d,article-meta,1,,RADMC-3D,tbody,4,,SAOImage DS9,fn-group,10
Spec2d,ext-link,253,,Spec2d,article-title,2,,SAOImage DS9,ack,46,,SAOImage DS9,list,2
Spec2d,fpage,1,,Spec2d,caption,6,,SAOImage DS9,app,10,,SAOImage DS9,list-item,1
Spec2d,italic,58,,Spec2d,comment,3,,SAOImage DS9,app-group,7,,SAOImage DS9,p,38
Spec2d,monospace,159,,Spec2d,element-citation,214,,SAOImage DS9,article,48,,SAOImage DS9,ref-list,58
Spec2d,p,181,,Spec2d,fn,12,,SAOImage DS9,back,125,,SAOImage DS9,sec,57
Spec2d,pub-id,90,,Spec2d,nlm-citation,91,,SAOImage DS9,caption,3,,SAOImage DS9,table-wrap,3
Spec2d,sc,24,,Spec2d,oasis:entry,2,,SAOImage DS9,fig,19,,Spec2d,ack,3
Spec2d,source,26,,Spec2d,p,309,,SAOImage DS9,fig-group,6,,Spec2d,app-group,4
Spec2d,sub,2,,Spec2d,sec,125,,SAOImage DS9,fn,39,,Spec2d,article,162
Stingray,monospace,5,,Spec2d,title,2,,SAOImage DS9,fn-group,2,,Spec2d,article-meta,1
Stingray,p,3,,Stingray,element-citation,1,,SAOImage DS9,list,3,,Spec2d,back,6
Stingray,source,1,,Stingray,p,5,,SAOImage DS9,list-item,2,,Spec2d,body,26
TARDIS,p,8,,Stingray,sec,3,,SAOImage DS9,p,7,,Spec2d,fig,4
TARDIS,pub-id,4,,TARDIS,element-citation,4,,SAOImage DS9,ref,58,,Spec2d,fig-group,3
TARDIS,sc,5,,TARDIS,p,5,,SAOImage DS9,sec,122,,Spec2d,fn-group,12
WCSTools,ext-link,75,,TARDIS,sec,8,,SAOImage DS9,table-wrap,2,,Spec2d,front,1
WCSTools,italic,26,,WCSTools,ack,2,,SAOImage DS9,table-wrap-foot,3,,Spec2d,list,17
WCSTools,monospace,19,,WCSTools,app,4,,Spec2d,abstract,1,,Spec2d,oasis:tbody,2
WCSTools,p,109,,WCSTools,comment,1,,Spec2d,ack,4,,Spec2d,p,57
WCSTools,sc,3,,WCSTools,element-citation,10,,Spec2d,app,4,,Spec2d,ref,5
WCSTools,tex-math,1,,WCSTools,fn,5,,Spec2d,app-group,2,,Spec2d,ref-list,305
,,,,WCSTools,inline-formula,1,,Spec2d,article,26,,Spec2d,sec,194
,,,,WCSTools,list-item,2,,Spec2d,article-meta,1,,Spec2d,table-wrap,1
,,,,WCSTools,nlm-citation,28,,Spec2d,back,35,,Spec2d,table-wrap-foot,2
,,,,WCSTools,p,84,,Spec2d,caption,7,,Stingray,article,2
,,,,WCSTools,sec,96,,Spec2d,element-citation,3,,Stingray,body,1
,,,,,,,,Spec2d,fig,6,,Stingray,ref-list,1
,,,,,,,,Spec2d,fn,71,,Stingray,sec,5
,,,,,,,,Spec2d,fn-group,8,,TARDIS,article,1
,,,,,,,,Spec2d,front,1,,TARDIS,body,7
,,,,,,,,Spec2d,list-item,17,,TARDIS,fig,1
,,,,,,,,Spec2d,nlm-citation,2,,TARDIS,ref-list,4
,,,,,,,,Spec2d,oasis:row,2,,TARDIS,sec,4
,,,,,,,,Spec2d,p,4,,WCSTools,ack,1
,,,,,,,,Spec2d,ref,305,,WCSTools,app-group,1
,,,,,,,,Spec2d,sec,305,,WCSTools,article,76
,,,,,,,,Spec2d,table-wrap-foot,1,,WCSTools,back,12
,,,,,,,,Stingray,article,1,,WCSTools,body,27
,,,,,,,,Stingray,ref,1,,WCSTools,fn-group,12
,,,,,,,,Stingray,sec,7,,WCSTools,list,1
,,,,,,,,TARDIS,article,7,,WCSTools,p,23
,,,,,,,,TARDIS,caption,1,,WCSTools,ref,1
,,,,,,,,TARDIS,ref,4,,WCSTools,ref-list,38
,,,,,,,,TARDIS,sec,5,,WCSTools,sec,41
,,,,,,,,WCSTools,ack,8,,,,
,,,,,,,,WCSTools,app,1,,,,
,,,,,,,,WCSTools,app-group,4,,,,
,,,,,,,,WCSTools,article,27,,,,
,,,,,,,,WCSTools,back,2,,,,
,,,,,,,,WCSTools,element-citation,1,,,,
,,,,,,,,WCSTools,fn,33,,,,
,,,,,,,,WCSTools,fn-group,3,,,,
,,,,,,,,WCSTools,list,2,,,,
,,,,,,,,WCSTools,list-item,1,,,,
,,,,,,,,WCSTools,p,3,,,,
,,,,,,,,WCSTools,ref,38,,,,
,,,,,,,,WCSTools,sec,110,,,,