Software_Package,Alias,Identifier,ref_count
AstroBlend,astroblend.com,0,1
Astropy,10.1051/0004-6361/201322068,1,449
Astropy,2013A&A...558A..33A,1,441
Astropy,Astropy,0,6
Astropy,Astropy Collaboration,0,433
Astropy,Astropy Collaboration 2013,0,1
Astropy,astropy,0,2
Astropy,astropy.org,0,73
Astropy,astropy/astroplan,0,1
Astropy,astropy/astroquery,0,2
Astropy,astropy/halotools,0,1
Astropy,astropy/photutils,0,3
Astropy,doi.org/10.1051/0004-6361/201322068,1,2
Astropy,github.com/astropy/astroplan,0,1
Astropy,github.com/astropy/astroquery,0,1
Astropy,github.com/astropy/astroscrappy,0,2
Astropy,github.com/astropy/halotools,0,1
Astropy,github.com/astropy/photutils,0,1
RADMC-3D,10.1051/0004-6361:20031768,1,96
RADMC-3D,10.1051/0004-6361:20040017,1,11
RADMC-3D,2004A&A...417..159D,1,96
RADMC-3D,2004A&A...417..793P,1,11
RADMC-3D,2011ascl.soft08016D,1,1
RADMC-3D,2012ascl.soft02015D,1,8
RADMC-3D,RADMC-3D,0,34
RADMC-3D,RADMC3D,0,5
RADMC-3D,ascl:1202.015,1,2
RADMC-3D,dullemond/software/radmc-3d,0,8
RADMC-3D,ita.uni-heidelberg.de/dullemond/software/radmc-3d,0,11
RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d,0,37
RADMC-3D,ita.uni-heidelberg.deâˆ¼deullemond/software/radmc-3d,0,1
RADMC-3D,radmc,0,1
RADMC-3D,radmc-3d,0,2
RADMC-3D,radmc3dPy,0,2
SAOImage DS9,2000ascl.soft03002S,1,1
SAOImage DS9,2003ASPC..295..489J,1,56
SAOImage DS9,SAOImage DS9,0,1
SAOImage DS9,ds9.si.edu,0,22
SAOImage DS9,hea&hyphen;www.harvard.edu/ChaMPlane/walkthrough_ds9,0,1
SAOImage DS9,hea&hyphen;www.harvard.edu/RD/ds9,0,7
SAOImage DS9,hea&hyphen;www.harvard.edu/RD/saotng,0,1
SAOImage DS9,hea&hyphen;www.harvard.edu/saord/ds9,0,1
SAOImage DS9,hea-www.harvard.edu/RD/ds9,0,15
SAOImage DS9,hea-www.harvard.edu/saord/funtools/ds9,0,1
Spec2d,10.1088/0067-0049/208/1/5,1,123
Spec2d,2012ascl.soft03003C,1,22
Spec2d,2013ApJS..208....5N,1,123
Spec2d,Spec2d,0,1
Spec2d,ascl:1203.003,1,9
Spec2d,astro.berkeley.edu/~cooper/deep/spec2d,0,22
Spec2d,astron.berkeley.edu/~cooper/deep/spec2d,0,7
Spec2d,deep.berkeley.edu/spec2d,0,7
Spec2d,deep.ps.uci.edu/spec2d,0,3
Spec2d,juno.as.arizona.edu/~cooper/deep/spec2d,0,1
Spec2d,keck.hawaii.edu/inst/deimos/pipeline.html,0,5
Spec2d,sdss3.org/svn/repo/idlspec2d,0,4
Spec2d,spec2d,0,34
Spec2d,spectro.princeton.edu/idlspec2d,0,12
Spec2d,svn.sdss.org/public/repo/manga/mangadrp/tags/v1_5_4/pro/spec2d,0,1
Stingray,Stingray,0,1
Stingray,github.com/StingraySoftware/HENDRIC,0,1
Stingray,github.com/StingraySoftware/notebooks,0,1
TARDIS,10.1093/mnras/stu055,1,4
WCSTools,1997ASPC..125..249M,1,11
WCSTools,1999ASPC..172..498M,1,10
WCSTools,2002ASPC..281..169M,1,13
WCSTools,2006ASPC..351..204M,1,4
WCSTools,cfa&hyphen;ftp.harvard.edu/pub/gsc/WCSTools,0,3
WCSTools,tdc&hyphen;www.harvard.edu/software/wcstools,0,8
WCSTools,tdc-www.cfa.harvard.edu/software/wcstools,0,2
WCSTools,tdc-www.harvard.edu/software/wcstools,0,10
WCSTools,tdc-www.harvard.edu/wcstools,0,11
WCSTools,wcstools,0,2
